datetime_beginning_utc,datetime_beginning_ept,fuel_type,total_sum_co2,total_sum_so2,total_sum_nox,percent_co2,percent_so2,percent_nox,full_interval
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Coal,22156336.313583,20080.523334,10962.572435,38.917192,90.763810,53.966416,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Gas,31474124.041917,250.864067,6505.235382,55.283713,1.133904,32.023892,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Multiple Fuels,1911211.317667,92.917380,1190.351921,3.357007,0.419986,5.859850,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Oil,544846.250333,624.400879,310.616303,0.957012,2.822287,1.529098,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Other Renewables,845483.460417,1075.225983,1344.917698,1.485076,4.860013,6.620744,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 AM,11/1/2024 7:00:00 AM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Coal,20121585.300000,17912.448299,9670.541978,39.434322,90.023428,56.034080,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Gas,28115023.195333,221.924929,4980.771566,55.099877,1.115338,28.860115,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Multiple Fuels,1556227.264917,68.981156,1004.117570,3.049897,0.346682,5.818165,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Oil,386653.942333,618.181283,254.943857,0.757765,3.106823,1.477223,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Other Renewables,846074.399583,1076.005125,1347.947018,1.658138,5.407729,7.810418,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 AM,11/1/2024 6:00:00 AM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 AM,11/1/2024 5:00:00 AM,Coal,19424252.329167,17100.352798,9223.060528,40.853371,89.725431,58.834320,True
